title,link,image,lprice,hprice,mallName,productId,productType
[아이폰] 아이폰12 미니 64G[공시지원/완납][SKT] / 5GX프라임 요금제,https://search.shopping.naver.com/gate.nhn?id=25577478929,https://shopping-phinf.pstatic.net/main_2557747/25577478929.jpg,278600,0,위메프,25577478929,2
[아이폰] 아이폰12 미니128G[공시지원/완납][SKT] / 5GX프라임 요금제,https://search.shopping.naver.com/gate.nhn?id=25577935896,https://shopping-phinf.pstatic.net/main_2557793/25577935896.jpg,338100,0,위메프,25577935896,2
Apple 아이폰 12 미니 64GB [LG U+],https://search.shopping.naver.com/gate.nhn?id=24451175529,https://shopping-phinf.pstatic.net/main_2445117/24451175529.20210122150842.jpg,289000,829900,네이버,24451175529,1
[아이폰] 아이폰12 미니 64G[선택약정/완납][SKT] / 5GX스탠다드 요금제 이상,https://search.shopping.naver.com/gate.nhn?id=25577303860,https://shopping-phinf.pstatic.net/main_2557730/25577303860.jpg,662200,0,위메프,25577303860,2
Apple 아이폰 12 프로 맥스 128GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24451758533,https://shopping-phinf.pstatic.net/main_2445175/24451758533.20201014123615.jpg,1115800,1447000,네이버,24451758533,1
Apple 아이폰 11 Pro 256GB (SKT),https://search.shopping.naver.com/gate.nhn?id=20858388549,https://shopping-phinf.pstatic.net/main_2085838/20858388549.20190911115936.jpg,1191190,1531900,네이버,20858388549,1
Apple 아이폰 12 프로 128GB [자급제],https://search.shopping.naver.com/gate.nhn?id=24452979523,https://shopping-phinf.pstatic.net/main_2445297/24452979523.20201021170652.jpg,1299000,1997900,네이버,24452979523,1
Apple 아이폰 SE2 128GB (KT),https://search.shopping.naver.com/gate.nhn?id=22520082058,https://shopping-phinf.pstatic.net/main_2252008/22520082058.20201203165406.jpg,121750,564800,네이버,22520082058,1
Apple 아이폰XS 64GB (SKT),https://search.shopping.naver.com/gate.nhn?id=16044630055,https://shopping-phinf.pstatic.net/main_1604463/16044630055.20181109142618.jpg,306000,1299600,네이버,16044630055,1
Apple 아이폰 12 미니 64GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24452568526,https://shopping-phinf.pstatic.net/main_2445256/24452568526.20201014112112.jpg,417990,607900,네이버,24452568526,1
[모든금액포함] 아이폰SE2 2020 64gb 정품 카메라무음 새제품 헤이심 알심 비사이드,https://search.shopping.naver.com/gate.nhn?id=82776378426,https://shopping-phinf.pstatic.net/main_8277637/82776378426.2.jpg,379000,0,비사이드커넥트,82776378426,2
Apple 아이폰 12 미니 256GB [KT],https://search.shopping.naver.com/gate.nhn?id=24452857523,https://shopping-phinf.pstatic.net/main_2445285/24452857523.20201014114652.jpg,600900,765000,네이버,24452857523,1
Apple 아이폰 12 Pro Max  Gold  128GB,https://search.shopping.naver.com/gate.nhn?id=25467178066,https://shopping-phinf.pstatic.net/main_2546717/25467178066.jpg,1425930,0,쿠팡,25467178066,2
Apple 아이폰 12 Mini  Green  256GB,https://search.shopping.naver.com/gate.nhn?id=25069464330,https://shopping-phinf.pstatic.net/main_2506946/25069464330.jpg,1102000,0,쿠팡,25069464330,2
Apple 아이폰 12 128GB [LG U+],https://search.shopping.naver.com/gate.nhn?id=24452875522,https://shopping-phinf.pstatic.net/main_2445287/24452875522.20201221172422.jpg,489900,1038900,네이버,24452875522,1
[모든금액포함] 아이폰SE 16gb 32gb 정품 언락 새제품 헤이심 알심 비사이드,https://search.shopping.naver.com/gate.nhn?id=82462844462,https://shopping-phinf.pstatic.net/main_8246284/82462844462.3.jpg,220000,0,비사이드커넥트,82462844462,2
Apple 아이폰XR 128GB (SKT),https://search.shopping.naver.com/gate.nhn?id=16043576394,https://shopping-phinf.pstatic.net/main_1604357/16043576394.20190516175026.jpg,239000,1056000,네이버,16043576394,1
Apple 아이폰 12 프로 맥스 512GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24452875529,https://shopping-phinf.pstatic.net/main_2445287/24452875529.20201014124745.jpg,1655210,1939000,네이버,24452875529,1
Apple 아이폰 12 64GB [KT],https://search.shopping.naver.com/gate.nhn?id=24452862522,https://shopping-phinf.pstatic.net/main_2445286/24452862522.20201014120244.jpg,779000,928000,네이버,24452862522,1
Apple 아이폰XR 64GB (SKT),https://search.shopping.naver.com/gate.nhn?id=16043524133,https://shopping-phinf.pstatic.net/main_1604352/16043524133.20181109115027.jpg,206700,990000,네이버,16043524133,1
Apple 아이폰 SE2 256GB (SKT),https://search.shopping.naver.com/gate.nhn?id=22520091184,https://shopping-phinf.pstatic.net/main_2252009/22520091184.20201203155359.jpg,293790,708900,네이버,22520091184,1
Apple 아이폰 11 64GB [자급제],https://search.shopping.naver.com/gate.nhn?id=20858274131,https://shopping-phinf.pstatic.net/main_2085827/20858274131.20200602133347.jpg,899990,2900000,네이버,20858274131,1
Apple 아이폰 11 프로 64G [자급제],https://search.shopping.naver.com/gate.nhn?id=20858385976,https://shopping-phinf.pstatic.net/main_2085838/20858385976.20200603173253.jpg,1148990,2900000,네이버,20858385976,1
Apple 아이폰 12 프로 256GB [LG U+],https://search.shopping.naver.com/gate.nhn?id=24453065523,https://shopping-phinf.pstatic.net/main_2445306/24453065523.20201221162009.jpg,1039000,1357900,네이버,24453065523,1
Apple 아이폰 7 128GB [SKT 기기변경],https://search.shopping.naver.com/gate.nhn?id=10310319253,https://shopping-phinf.pstatic.net/main_1031031/10310319253.20160908110140.jpg,1,275100,네이버,10310319253,1
Apple 아이폰 11 128GB [자급제],https://search.shopping.naver.com/gate.nhn?id=20858302247,https://shopping-phinf.pstatic.net/main_2085830/20858302247.20200602150427.jpg,979970,2900000,네이버,20858302247,1
"[SKT LG KT 유심 바로사용] 애플 아이폰 SE 스마트폰 - 언락, 북미판, 공기계",https://search.shopping.naver.com/gate.nhn?id=82463602593,https://shopping-phinf.pstatic.net/main_8246360/82463602593.1.jpg,99000,0,storybox,82463602593,2
Apple 아이폰 SE2 64GB [자급제],https://search.shopping.naver.com/gate.nhn?id=22520082057,https://shopping-phinf.pstatic.net/main_2252008/22520082057.20200826155622.jpg,550000,1000000,네이버,22520082057,1
Apple 아이폰 12 128GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24451216531,https://shopping-phinf.pstatic.net/main_2445121/24451216531.20201014115534.jpg,923090,1080300,네이버,24451216531,1
Apple 아이폰 11 128GB (KT),https://search.shopping.naver.com/gate.nhn?id=20858277032,https://shopping-phinf.pstatic.net/main_2085827/20858277032.20190911112213.jpg,696000,1056000,네이버,20858277032,1
Apple 아이폰X 64GB (KT),https://search.shopping.naver.com/gate.nhn?id=12725335936,https://shopping-phinf.pstatic.net/main_1272533/12725335936.20180607174129.jpg,147000,519000,네이버,12725335936,1
Apple 아이폰 11 Pro 64GB (SKT),https://search.shopping.naver.com/gate.nhn?id=20858385412,https://shopping-phinf.pstatic.net/main_2085838/20858385412.20200115152611.jpg,951800,1375000,네이버,20858385412,1
Apple 아이폰 12 미니 256GB [LG U+],https://search.shopping.naver.com/gate.nhn?id=24452119528,https://shopping-phinf.pstatic.net/main_2445211/24452119528.20210122154003.jpg,438000,1038900,네이버,24452119528,1
Apple 아이폰 12 프로 512GB [자급제],https://search.shopping.naver.com/gate.nhn?id=24453088524,https://shopping-phinf.pstatic.net/main_2445308/24453088524.20201201133311.jpg,1742390,2304000,네이버,24453088524,1
Apple 아이폰 SE2 256GB [자급제],https://search.shopping.naver.com/gate.nhn?id=22520092918,https://shopping-phinf.pstatic.net/main_2252009/22520092918.20200828115539.jpg,679000,1201500,네이버,22520092918,1
Apple 아이폰 12 프로 맥스 512GB [KT],https://search.shopping.naver.com/gate.nhn?id=24453125524,https://shopping-phinf.pstatic.net/main_2445312/24453125524.20201014124537.jpg,1594000,1779000,네이버,24453125524,1
Apple 아이폰XS 256GB (SKT),https://search.shopping.naver.com/gate.nhn?id=16044767575,https://shopping-phinf.pstatic.net/main_1604476/16044767575.20190516171250.jpg,497800,1497600,네이버,16044767575,1
Apple 아이폰 12 Mini  White  64GB,https://search.shopping.naver.com/gate.nhn?id=26009812212,https://shopping-phinf.pstatic.net/main_2600981/26009812212.jpg,902500,0,쿠팡,26009812212,2
Apple 아이폰XS 256GB (KT),https://search.shopping.naver.com/gate.nhn?id=15979048279,https://shopping-phinf.pstatic.net/main_1597904/15979048279.20190208142354.jpg,708500,1521800,네이버,15979048279,1
아이폰SE2 공기계 새제품 미사용 iPhoneSE2 64G,https://search.shopping.naver.com/gate.nhn?id=82799129720,https://shopping-phinf.pstatic.net/main_8279912/82799129720.jpg,449000,0,하이폰샵,82799129720,2
Apple 아이폰 11 Pro Max 256GB (SKT),https://search.shopping.naver.com/gate.nhn?id=20858558236,https://shopping-phinf.pstatic.net/main_2085855/20858558236.20200220102302.jpg,1361360,1698900,네이버,20858558236,1
"아이폰12 미니 공기계 새제품 SKT IPHONE12 mini (64GB)모바일센터,알뜰폰",https://search.shopping.naver.com/gate.nhn?id=17728991349,https://shopping-phinf.pstatic.net/main_1772899/17728991349.2.jpg,885000,0,모바일센터,17728991349,2
Apple 아이폰7 32G [자급제],https://search.shopping.naver.com/gate.nhn?id=17071562147,https://shopping-phinf.pstatic.net/main_1707156/17071562147.20200211125443.jpg,278990,278990,네이버,17071562147,1
Apple 아이폰 12 128GB [KT],https://search.shopping.naver.com/gate.nhn?id=24452859523,https://shopping-phinf.pstatic.net/main_2445285/24452859523.20201014120258.jpg,879000,1005000,네이버,24452859523,1
Apple 아이폰 12 64GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24452569527,https://shopping-phinf.pstatic.net/main_2445256/24452569527.20201014120341.jpg,719900,1003300,네이버,24452569527,1
미사용 애플 아이폰SE 2세대 공기계 자급제,https://search.shopping.naver.com/gate.nhn?id=24725165131,https://shopping-phinf.pstatic.net/main_2472516/24725165131.jpg,420720,0,인터파크,24725165131,2
미사용 애플 아이폰 11프로 pro 64GB /256GB 공기계,https://search.shopping.naver.com/gate.nhn?id=23055451061,https://shopping-phinf.pstatic.net/main_2305545/23055451061.1.jpg,885890,0,인터파크,23055451061,2
Apple 아이폰 11 프로 맥스 64G [자급제],https://search.shopping.naver.com/gate.nhn?id=20858502859,https://shopping-phinf.pstatic.net/main_2085850/20858502859.20200604140323.jpg,1310000,2900000,네이버,20858502859,1
Apple 아이폰XS Max 256GB (SKT),https://search.shopping.naver.com/gate.nhn?id=16045527823,https://shopping-phinf.pstatic.net/main_1604552/16045527823.20181109151335.jpg,547300,1705000,네이버,16045527823,1
Apple 아이폰 12 프로 512GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24452979525,https://shopping-phinf.pstatic.net/main_2445297/24452979525.20201014121947.jpg,1543200,1711300,네이버,24452979525,1
Apple 아이폰XS 64GB (KT),https://search.shopping.naver.com/gate.nhn?id=15978139312,https://shopping-phinf.pstatic.net/main_1597813/15978139312.20190208103148.jpg,659000,1323800,네이버,15978139312,1
Apple 아이폰 12 Pro Max  Graphite  512GB,https://search.shopping.naver.com/gate.nhn?id=24979613165,https://shopping-phinf.pstatic.net/main_2497961/24979613165.jpg,1818300,0,쿠팡,24979613165,2
